Главные приставки-гробы ФИПИ;Скорее забирай набор заданий и узнай, как правильно использовать приставки в словах.;4.2
во..даяние;пр..бить (гвоздь)
во..пламениться;во[с*|з]пламениться;CLICKABLE
необ..ятный;необ[ъ*|ь]ятный;CLICKABLE
п..рядок;п[о*|а]рядок;CLICKABLE
бе..помощный;бе[с*|з]помощный;CLICKABLE
от..бравший;от[о*|а]бравший;CLICKABLE
и..подтишка;и[з*|с]подтишка;CLICKABLE
пр..теснение;пр[и*|е]теснение;CLICKABLE
об..льстить;об[о*|а]льстить;CLICKABLE
по..ставить;по[д*|т]ставить;CLICKABLE
не..балансированный;не[с*|з]балансированный;CLICKABLE
пр..града;пр[и*|е]града;CLICKABLE
пр..липший;пр[и*|е]липший;CLICKABLE
п..йдём.;п[о*|а]йдём.;CLICKABLE
из..скать;из[ы*|и]скать;CLICKABLE
пр..славяне;пр[а*|о]славяне;CLICKABLE
разоб..ю;разоб[ь*|ъ]ю;CLICKABLE
транс..европейский;транс[ъ*|ь]европейский;CLICKABLE
бе..жизненный;бе[з*|с]жизненный;CLICKABLE
пр..звание;пр[и*|е]звание;CLICKABLE
с..страдание;с[о*|а]страдание;CLICKABLE
сверх..зысканный;сверх[и*|е]зысканный;CLICKABLE
по..черкнуть;по[д*|т]черкнуть;CLICKABLE
по..ставка;по[д*|т]ставка;CLICKABLE
от..всюду;от[о*|а]всюду;CLICKABLE
на..кусил;на[д*|т]кусил;CLICKABLE
р..списывать;р[а*|о]списывать;CLICKABLE
пр..старелый;пр[е*|и]старелый;CLICKABLE
двух..гольный;двух[и*|е]гольный;CLICKABLE
и..древле;и[з*|с]древле;CLICKABLE
по..скать;по[и*|е]скать;CLICKABLE
