Приставки для победы;Оттачивай свои навыки с этим набором заданий по приставкам и добейся высоких баллов на ЕГЭ.;3.8
пр..морский;бе..численный;пр..школьный
пр..близить;пр[и*|е]близить;CLICKABLE
с..змала (любил петь);с[ы*|и]змала (любил петь);CLICKABLE
сер..ёзность;сер[ь*|ъ]ёзность;CLICKABLE
меж..ярусный;меж[ъ*|ь]ярусный;CLICKABLE
во..даяние;во[з*|с]даяние;CLICKABLE
не..быточный;не[с*|з]быточный;CLICKABLE
пр..глушить;пр[и*|е]глушить;CLICKABLE
пр..следовать (врага);пр[и*|е]следовать (врага);CLICKABLE
р..зобщённо;р[а*|о]зобщённо;CLICKABLE
с..переживающий;с[о*|а]переживающий;CLICKABLE
не..писуемый;не[о*|а]писуемый;CLICKABLE
нер..сположение;нер[а*|о]сположение;CLICKABLE
зав..южить;зав[ь*|ъ]южить;CLICKABLE
вз..мать;вз[и*|е]мать;CLICKABLE
з..копчённый;з[а*|о]копчённый;CLICKABLE
п..дбежать;п[о*|а]дбежать;CLICKABLE
и..синя-чёрный;и[с*|з]синя-чёрный;CLICKABLE
пр..успеть (в учёбе);пр[и*|е]успеть (в учёбе);CLICKABLE
д..монтажный;д[е*|и]монтажный;CLICKABLE
обе..главить;обе[з*|с]главить;CLICKABLE
в..елся.;в[ъ*|ь]елся.;CLICKABLE
р..зослать (письма);р[а*|о]зослать (письма);CLICKABLE
в..зомнить;в[о*|а]зомнить;CLICKABLE
п..дножие (горы);п[о*|а]дножие (горы);CLICKABLE
во..местить;во[з*|с]местить;CLICKABLE
об..ект;об[ъ*|ь]ект;CLICKABLE
пр..шить (пуговицу);пр[и*|е]шить (пуговицу);CLICKABLE
(старинное) пр..дание;(старинное) пр[и*|е]дание;CLICKABLE
под..грать;под[ы*|и]грать;CLICKABLE
д..ячок;д[ь*|ъ]ячок;CLICKABLE
