Приставки на отлично;Улучшай свои знания по приставкам с этим набором заданий и получай только отличные оценки.;4.5

кур..ёз;кур[ь*|ъ]ёз;CLICKABLE
пр..жился;пр[и*|е]жился;CLICKABLE
от..скать;от[ы*|и]скать;CLICKABLE
двух..ярусный;двух[/*|ъ]ярусный;CLICKABLE
с..ёмка;с[ъ*|ь]ёмка;CLICKABLE
пр..вращение;пр[е*|и]вращение;CLICKABLE
за..граться;за[и*|е]граться;CLICKABLE
сверх..нтересный;сверх[и*|е]нтересный;CLICKABLE
бе..причинный;бе[с*|з]причинный;CLICKABLE
бе..предел;бе[с*|з]предел;CLICKABLE
воз..меть;воз[ы*|и]меть;CLICKABLE
в..дохнуть;в[з*|с]дохнуть;CLICKABLE
из..ян;из[ъ*|ь]ян;CLICKABLE
в..плеснуть (руками);в[с*|з]плеснуть (руками);CLICKABLE
о..стать;о[т*|д]стать;CLICKABLE
раз..ём;раз[ъ*|ь]ём;CLICKABLE
р..зыскивать;р[о*|а]зыскивать;CLICKABLE
пр..мета;пр[и*|е]мета;CLICKABLE
сверх..зысканно;сверх[и*|е]зысканно;CLICKABLE
(высокий) бар..ер;(высокий) бар[ь*|ъ]ер;CLICKABLE
двух..мённый;двух[и*|е]мённый;CLICKABLE
бе..костный;бе[с*|з]костный;CLICKABLE
бе..симптомный;бе[с*|з]симптомный;CLICKABLE
пост..нсультный;пост[и*|е]нсультный;CLICKABLE
меж..нститутский;меж[и*|е]нститутский;CLICKABLE
(совершить серьёзный) пр..ступок;(совершить серьёзный) пр[о*|а]ступок;CLICKABLE
по..бородок;по[д*|т]бородок;CLICKABLE
об..явить;об[ъ*|ь]явить;CLICKABLE
под..брать;под[о*|а]брать;CLICKABLE
сверх..зящный;сверх[и*|е]зящный;CLICKABLE
