Приставки для чемпионов;Стань чемпионом по приставкам с этим набором заданий и покори ЕГЭ.;4.0

пр..ложение;пр[и*|е]ложение;CLICKABLE
пр..чудливо;пр[и*|е]чудливо;CLICKABLE
и..писать (лист);и[с*|з]писать (лист);CLICKABLE
п..никнуть;п[о*|а]никнуть;CLICKABLE
вз..мать (налоги);вз[и*|е]мать (налоги);CLICKABLE
пр..подать (урок);пр[е*|и]подать (урок);CLICKABLE
н..испособнейший;н[а*|о]испособнейший;CLICKABLE
не..бритые (волосы);не[с*|з]бритые (волосы);CLICKABLE
бе..принципный;бе[с*|з]принципный;CLICKABLE
бе..болезненный;бе[з*|с]болезненный;CLICKABLE
кар..ера;кар[ь*|ъ]ера;CLICKABLE
пр..образ;пр[о*|а]образ;CLICKABLE
ра..следование;ра[с*|з]следование;CLICKABLE
прот..тип;прот[о*|а]тип;CLICKABLE
ра..счёт;ра[с*|з]счёт;CLICKABLE
сверх..дея;сверх[и*|е]дея;CLICKABLE
с..трудник;с[о*|а]трудник;CLICKABLE
(ржавчина) раз..ела;(ржавчина) раз[ъ*|ь]ела;CLICKABLE
под..ячий;под[ь*|ъ]ячий;CLICKABLE
меж..здательский;меж[и*|е]здательский;CLICKABLE
двух..мпульсный;двух[и*|е]мпульсный;CLICKABLE
непр..миримый;непр[и*|е]миримый;CLICKABLE
перен..править;перен[а*|о]править;CLICKABLE
под..скивать;под[ы*|и]скивать;CLICKABLE
ин..екция;ин[ъ*|ь]екция;CLICKABLE
ультр..современный;ультр[а*|о]современный;CLICKABLE
пр..зрел (бездомного);пр[и*|е]зрел (бездомного);CLICKABLE
д..бела;д[о*|а]бела;CLICKABLE
ра..крошить;ра[с*|з]крошить;CLICKABLE
пр..клеить (на бумагу);пр[и*|е]клеить (на бумагу);CLICKABLE
