Приставки для лидеров;Закрепи свои знания по приставкам с этим набором заданий и стань лидером в своей группе.;3.7

под..зношенный (костюм);под[ы*|и]зношенный (костюм);CLICKABLE
перер..спределение;перер[а*|о]спределение;CLICKABLE
п..переменно;п[о*|а]переменно;CLICKABLE
под..есаул;под[ъ*|ь]есаул;CLICKABLE
и..подтишка;и[с*|з]подтишка;CLICKABLE
(всероссийские) ..дравницы;(всероссийские) [з*|с]дравницы;CLICKABLE
по..пустить;по[д*|т]пустить;CLICKABLE
пр..встать;пр[и*|е]встать;CLICKABLE
ра..торгнуть;ра[с*|з]торгнуть;CLICKABLE
пред..ставить;пред[о*|а]ставить;CLICKABLE
вз..скать;вз[ы*|и]скать;CLICKABLE
ра..колоть;ра[с*|з]колоть;CLICKABLE
с..ёжиться;с[ъ*|/|ь]ёжиться;CLICKABLE
пр..града;пр[е*|и]града;CLICKABLE
и..черпать;и[с*|з]черпать;CLICKABLE
под..язычный;под[ъ*|/]язычный;CLICKABLE
пр..даточный;пр[и*|е]даточный;CLICKABLE
без пр..крас;без пр[и*|е]крас;CLICKABLE
подош..ёт (брюки);подош[ь*|ъ]ёт (брюки);CLICKABLE
ал..тернатива;ал[ь*|ъ]тернатива;CLICKABLE
без..сходный;без[ы*|и]сходный;CLICKABLE
п..ложиться;п[о*|а]ложиться;CLICKABLE
**********не..глядный;не[+]глядный;CLICKABLE
не..глядный;не[о*|а]глядный;CLICKABLE
п..мчаться;п[о*|а]мчаться;CLICKABLE
во..пламенеть;во[с*|з]пламенеть;CLICKABLE
(негде) пр..моститься;(негде) пр[и*|е]моститься;CLICKABLE
под..язычный;под[ъ*|ь]язычный;CLICKABLE
пр..морский;пр[и*|е]морский;CLICKABLE
нез..вершённая (работа);нез[а*|о]вершённая (работа);CLICKABLE
