Приставки для первых мест;Совершенствуйся в использовании приставок с этим набором заданий и занимай только первые места.;3.9

без..нъекционный (метод);без[и*|е]нъекционный (метод);CLICKABLE
с..знова;с[ы*|и]знова;CLICKABLE
беспр..станно;беспр[и*|е]станно;CLICKABLE
пред..дущий;пред[ы*|и]дущий;CLICKABLE
бе..крайний;бе[с*|з]крайний;CLICKABLE
и..желта-красный;и[з*|с]желта-красный;CLICKABLE
макрос..ёмка;макрос[ъ*|ь]ёмка;CLICKABLE
o..дача;o[т*|д]дача;CLICKABLE
пред..юньский;пред[ы*|и]юньский;CLICKABLE
в..карабкаться;в[с*|з]карабкаться;CLICKABLE
бе..голосый;бе[с*|з]голосый;CLICKABLE
..дание;[с*|з]дание;CLICKABLE
..двинуть;[с*|з]двинуть;CLICKABLE
вз..гравшее (самолюбие);вз[ы*|и]гравшее (самолюбие);CLICKABLE
с..естной;с[ъ*|ь]естной;CLICKABLE
без..языкий;без[ъ*|ь]языкий;CLICKABLE
пр..видец;пр[о*|а]видец;CLICKABLE
суб..ективный;суб[ъ*|ь]ективный;CLICKABLE
роз..грыш;роз[ы*|и]грыш;CLICKABLE
пре..написанное;пре[д*|т]написанное;CLICKABLE
пр..наряженный;пр[и*|е]наряженный;CLICKABLE
пр..ставить (к стене);пр[и*|е]ставить (к стене);CLICKABLE
в..скликнул;в[о*|а]скликнул;CLICKABLE
без..нвентарный;без[ы*|и]нвентарный;CLICKABLE
и..вестить;и[з*|с]вестить;CLICKABLE
вд..гонку;вд[о*|а]гонку;CLICKABLE
фин..нспектор;фин[и*|е]нспектор;CLICKABLE
пр..болеть;пр[и*|е]болеть;CLICKABLE
раз..чаровать;раз[о*|а]чаровать;CLICKABLE
и..пытывать;и[с*|з]пытывать;CLICKABLE
